event_id,user_id,event,event_time
E00001,U001,signup,2025-01-01T01:00:00
E00002,U001,view,2025-01-01T02:00:00
E00003,U001,add_to_cart,2025-01-01T03:00:00
E00004,U001,purchase,2025-01-01T04:00:00
E00005,U002,signup,2025-01-02T02:00:00
E00006,U002,view,2025-01-02T03:00:00
E00007,U002,add_to_cart,2025-01-02T04:00:00
E00008,U002,purchase,2025-01-02T05:00:00
E00009,U002,active,2025-01-09T04:00:00
E00010,U003,signup,2025-01-03T03:00:00
E00011,U003,view,2025-01-03T04:00:00
E00012,U003,add_to_cart,2025-01-03T05:00:00
E00013,U004,signup,2025-01-04T04:00:00
E00014,U004,view,2025-01-04T05:00:00
E00015,U004,add_to_cart,2025-01-04T06:00:00
E00016,U004,purchase,2025-01-04T07:00:00
E00017,U004,active,2025-01-11T06:00:00
E00018,U005,signup,2025-01-05T05:00:00
E00019,U005,view,2025-01-05T06:00:00
E00020,U006,signup,2025-01-06T06:00:00
E00021,U006,view,2025-01-06T07:00:00
E00022,U006,add_to_cart,2025-01-06T08:00:00
E00023,U006,active,2025-01-13T08:00:00
E00024,U007,signup,2025-01-07T00:00:00
E00025,U007,view,2025-01-07T01:00:00
E00026,U007,add_to_cart,2025-01-07T02:00:00
E00027,U007,purchase,2025-01-07T03:00:00
E00028,U008,signup,2025-01-08T01:00:00
E00029,U008,view,2025-01-08T02:00:00
E00030,U008,add_to_cart,2025-01-08T03:00:00
E00031,U008,purchase,2025-01-08T04:00:00
E00032,U008,active,2025-01-15T03:00:00
E00033,U009,signup,2025-01-09T02:00:00
E00034,U009,view,2025-01-09T03:00:00
E00035,U009,add_to_cart,2025-01-09T04:00:00
E00036,U010,signup,2025-01-10T03:00:00
E00037,U010,view,2025-01-10T04:00:00
E00038,U010,active,2025-01-17T05:00:00
E00039,U011,signup,2025-01-11T04:00:00
E00040,U011,view,2025-01-11T05:00:00
E00041,U011,add_to_cart,2025-01-11T06:00:00
E00042,U011,purchase,2025-01-11T07:00:00
E00043,U011,active,2025-01-21T04:00:00
E00044,U012,signup,2025-01-12T05:00:00
E00045,U012,view,2025-01-12T06:00:00
E00046,U012,add_to_cart,2025-01-12T07:00:00
E00047,U012,active,2025-01-19T07:00:00
E00048,U013,signup,2025-01-13T06:00:00
E00049,U013,view,2025-01-13T07:00:00
E00050,U013,add_to_cart,2025-01-13T08:00:00
E00051,U013,purchase,2025-01-13T09:00:00
E00052,U014,signup,2025-01-14T00:00:00
E00053,U014,view,2025-01-14T01:00:00
E00054,U014,add_to_cart,2025-01-14T02:00:00
E00055,U014,purchase,2025-01-14T03:00:00
E00056,U014,active,2025-01-21T02:00:00
E00057,U015,signup,2025-01-15T01:00:00
E00058,U015,view,2025-01-15T02:00:00
E00059,U016,signup,2025-01-16T02:00:00
E00060,U016,view,2025-01-16T03:00:00
E00061,U016,add_to_cart,2025-01-16T04:00:00
E00062,U016,purchase,2025-01-16T05:00:00
E00063,U016,active,2025-01-23T04:00:00
E00064,U017,signup,2025-01-17T03:00:00
E00065,U017,view,2025-01-17T04:00:00
E00066,U017,add_to_cart,2025-01-17T05:00:00
E00067,U017,purchase,2025-01-17T06:00:00
E00068,U018,signup,2025-01-18T04:00:00
E00069,U018,view,2025-01-18T05:00:00
E00070,U018,add_to_cart,2025-01-18T06:00:00
E00071,U018,active,2025-01-25T06:00:00
E00072,U019,signup,2025-01-19T05:00:00
E00073,U019,view,2025-01-19T06:00:00
E00074,U019,add_to_cart,2025-01-19T07:00:00
E00075,U019,purchase,2025-01-19T08:00:00
E00076,U020,signup,2025-01-20T06:00:00
E00077,U020,view,2025-01-20T07:00:00
E00078,U020,active,2025-01-27T08:00:00
E00079,U021,signup,2025-01-01T00:00:00
E00080,U021,view,2025-01-01T01:00:00
E00081,U021,add_to_cart,2025-01-01T02:00:00
E00082,U022,signup,2025-01-02T01:00:00
E00083,U022,view,2025-01-02T02:00:00
E00084,U022,add_to_cart,2025-01-02T03:00:00
E00085,U022,purchase,2025-01-02T04:00:00
E00086,U022,active,2025-01-09T03:00:00
E00087,U022,active,2025-01-12T01:00:00
E00088,U023,signup,2025-01-03T02:00:00
E00089,U023,view,2025-01-03T03:00:00
E00090,U023,add_to_cart,2025-01-03T04:00:00
E00091,U023,purchase,2025-01-03T05:00:00
E00092,U024,signup,2025-01-04T03:00:00
E00093,U024,view,2025-01-04T04:00:00
E00094,U024,add_to_cart,2025-01-04T05:00:00
E00095,U024,active,2025-01-11T05:00:00
E00096,U025,signup,2025-01-05T04:00:00
E00097,U025,view,2025-01-05T05:00:00
E00098,U026,signup,2025-01-06T05:00:00
E00099,U026,view,2025-01-06T06:00:00
E00100,U026,add_to_cart,2025-01-06T07:00:00
E00101,U026,purchase,2025-01-06T08:00:00
E00102,U026,active,2025-01-13T07:00:00
E00103,U027,signup,2025-01-07T06:00:00
E00104,U027,view,2025-01-07T07:00:00
E00105,U027,add_to_cart,2025-01-07T08:00:00
E00106,U028,signup,2025-01-08T00:00:00
E00107,U028,view,2025-01-08T01:00:00
E00108,U028,add_to_cart,2025-01-08T02:00:00
E00109,U028,purchase,2025-01-08T03:00:00
E00110,U028,active,2025-01-15T02:00:00
E00111,U029,signup,2025-01-09T01:00:00
E00112,U029,view,2025-01-09T02:00:00
