record_id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
C0001,0.57259,-0.342177,0.652046,-0.079127,-0.908392,0.439727,1
C0002,1.066173,0.255075,0.374168,-0.069897,0.921601,-0.621162,1
C0003,-0.723184,-0.233949,1.415339,0.760238,0.373048,-1.445416,0
C0004,0.768289,-0.333739,-1.055462,0.481583,0.49333,0.652659,1
C0005,-0.001025,0.40669,-0.025934,-0.537509,1.613269,-0.317697,0
C0006,-0.657932,0.708885,-0.789439,2.132649,0.352281,-0.272037,0
C0007,0.564368,0.724059,1.085267,-0.481032,0.340415,2.334202,1
C0008,0.494076,2.143567,0.654996,-0.451473,1.085345,-0.235462,0
C0009,-0.456294,0.64298,1.644676,0.289022,-2.245457,-0.620679,0
C0010,-0.441287,-0.552797,-0.250247,-0.17914,0.045444,0.274689,0
C0011,-1.221335,-0.091142,-0.242472,-0.063144,0.156469,0.802477,0
C0012,0.314981,-0.653817,0.095988,-0.964692,0.750609,0.360762,1
C0013,-1.280445,-2.511114,1.12569,1.163533,0.924082,0.769298,1
C0014,0.607744,-1.962491,0.542237,-0.763942,-0.308526,-0.12215,1
C0015,0.18623,-1.090661,-0.520638,0.258676,-1.296297,0.249748,1
C0016,-0.343503,-2.014371,-1.042145,-0.029798,0.497711,-0.080503,1
C0017,0.358218,0.816184,0.509733,0.177943,0.324746,0.634109,1
C0018,-0.530705,0.846691,-0.936681,2.194293,0.903514,-0.844426,0
C0019,1.782592,-0.247995,-2.134174,0.098118,-0.475309,2.695957,1
C0020,-1.736295,0.323742,0.840535,-0.80029,-0.153388,0.245043,0
C0021,0.337689,-0.687174,0.55868,-0.039854,0.73392,-1.115303,1
C0022,-0.969429,-0.651349,0.845992,0.024089,1.787908,-0.500383,1
C0023,-0.486963,-0.307099,-0.926473,0.143978,0.047642,0.599674,1
C0024,-1.320209,-0.525397,1.532894,-2.343984,-0.044009,-0.103263,1
C0025,-1.069081,-0.069103,0.794686,0.473307,-0.350726,-0.691022,0
C0026,0.51941,0.424738,-0.623412,0.162597,0.611367,-0.276876,0
C0027,0.216036,1.249907,1.049098,0.493406,1.281264,-1.925924,0
C0028,-0.452849,-1.116018,0.906927,0.785198,0.774273,-1.546702,1
C0029,0.082781,0.546915,-0.645741,0.782154,-0.266945,0.488147,0
C0030,-1.883993,-1.188011,-0.415336,-1.572255,-0.296659,0.760984,0
C0031,-0.27712,-0.963064,0.254037,-0.713719,-0.829151,1.696699,1
C0032,-1.947902,0.882058,-0.148997,3.258986,0.764013,-0.960606,0
C0033,0.034941,-1.883442,0.083608,-0.689113,-0.903608,-0.849064,1
C0034,1.790783,0.790918,1.382705,1.272275,-1.012419,0.248523,1
C0035,0.468103,-1.051031,0.35804,0.693501,0.221922,-0.398153,1
C0036,-0.317265,-0.854232,-1.072236,1.838778,-1.769875,0.407921,0
C0037,1.207577,-0.670009,-2.345419,-1.037894,1.16034,0.447829,1
C0038,-0.142945,-0.521246,0.058573,0.291508,-0.483099,-0.94228,1
C0039,-0.146201,-1.034004,0.460035,-1.594931,0.133286,0.094482,1
C0040,-1.320409,-1.051342,0.215065,0.199396,1.591833,-1.438218,0
C0041,0.793867,-2.076359,-0.74946,1.378984,-0.890678,-0.882757,1
C0042,0.689269,-0.320357,0.90702,-0.769565,1.02754,1.219498,1
C0043,0.411984,-0.304812,0.07288,-0.844985,-0.005521,-0.629987,0
C0044,-0.059631,0.04083,0.46087,1.145261,-1.920975,1.764595,0
C0045,1.341655,0.142094,0.319605,-0.871084,-1.408651,-1.282373,1
C0046,-0.673404,-0.487038,0.74782,-1.309221,-0.012136,0.091184,1
C0047,1.548121,-0.971997,-0.507333,-2.102877,-1.705192,-0.608475,0
C0048,0.611857,-0.422353,1.246415,0.763125,-1.10573,-1.093474,1
C0049,-1.427247,0.70733,-0.874373,-0.105106,-0.40011,-0.839468,0
C0050,0.594198,2.155739,-2.271096,0.60667,-0.059371,0.284659,0
C0051,-1.972863,1.133623,-0.845625,1.006498,1.845303,-0.403402,0
C0052,0.523126,0.269326,-0.208659,0.648666,-1.156799,-0.199865,1
C0053,-1.547928,-0.972727,0.46701,0.810956,1.004928,-1.036012,1
C0054,-1.607693,-0.191699,-0.644767,0.044969,0.117504,-1.308321,0
C0055,1.231314,0.316066,0.207763,0.835244,-0.33337,0.99573,1
C0056,-0.900276,-1.623925,-0.023792,1.008211,-0.645367,-0.775776,1
C0057,1.078395,0.292041,0.008482,-1.6614,-1.139476,-0.043536,1
C0058,-0.396418,0.436354,-0.874729,0.803002,-0.629583,-0.378511,1
C0059,0.04855,-0.031372,-0.58071,0.198946,-0.033217,0.239741,0
C0060,0.884519,0.537457,-0.815707,-0.306175,-0.773257,-1.515955,1
C0061,-0.394982,-0.335185,0.529594,-0.245922,1.440102,0.881224,0
C0062,0.394351,-1.555707,0.756014,-0.304663,-1.603181,-0.260644,1
C0063,0.191808,-1.706372,0.577277,0.830594,-0.575248,-0.752024,1
C0064,-0.707636,-0.295159,-0.408409,-0.374157,-0.548931,-1.96841,0
C0065,-2.240347,1.972094,1.606917,-0.137448,-0.381526,1.611828,0
C0066,0.030326,-0.804158,0.181889,0.273149,-1.310591,0.849285,1
C0067,-0.794907,-0.504157,0.658651,-0.325673,-0.462487,-0.438668,0
C0068,1.434726,0.288632,0.146831,0.173678,-0.503445,1.243443,1
C0069,1.914492,-0.555292,-0.799391,-1.339324,-0.699605,-0.140499,1
C0070,-0.287963,-1.30257,0.8995,1.015939,0.733793,2.202606,1
C0071,-0.258251,-1.057285,0.981232,-1.066386,0.300843,-1.273079,1
C0072,0.768167,0.334162,0.470197,0.734485,0.929435,0.449511,1
C0073,0.855152,-0.572921,1.955397,-1.338975,-0.614692,-0.027034,1
C0074,-0.437746,0.541773,-0.592865,0.86408,-0.855211,-1.296641,0
C0075,0.623432,0.190346,-0.026217,0.792662,-0.756373,0.148784,1
C0076,-0.135969,-0.502314,-0.85888,1.576738,0.191738,0.781718,1
C0077,-0.30714,0.29088,0.337205,-1.190842,1.809365,0.155904,0
C0078,0.421122,-0.89602,2.358615,1.516237,0.902571,1.479435,1
C0079,-0.983599,0.290258,0.489072,0.810427,-1.166673,0.423718,1
C0080,-0.264464,-0.32376,-0.885725,-1.008586,0.73462,1.637789,0
C0081,-0.12488,0.225265,-1.045958,-0.92768,-0.035192,0.127734,0
C0082,1.351858,1.757968,0.30326,-0.236995,0.920191,0.052014,0
C0083,0.15409,1.038177,1.511361,-0.096494,-0.331014,1.097649,0
C0084,0.648438,-1.71757,0.890227,-0.238806,2.507983,-0.661945,1
C0085,-0.573913,0.24464,-1.183378,0.76922,-0.950037,-1.623888,0
C0086,1.32519,-0.185552,0.134105,-0.608118,0.682182,0.196665,1
C0087,0.117201,-1.06023,1.335049,-0.080622,-1.521216,-1.597326,1
C0088,0.227107,0.463009,0.355361,0.037704,2.157873,-0.629471,1
C0089,0.486715,2.491492,0.441571,-0.312691,-1.470396,1.358921,0
C0090,-1.01163,-0.908025,-0.279088,0.052493,1.235318,-0.606818,0
C0091,0.25337,0.337633,0.295814,-0.537648,1.45994,-1.202824,1
C0092,-1.438027,0.760141,-0.916455,-0.508482,0.155085,0.988555,0
C0093,0.303538,1.693536,0.608263,1.046713,-1.029059,2.46993,0
C0094,0.694328,1.002205,0.630603,0.840879,0.419212,-1.484965,1
C0095,0.546364,-1.153439,-0.693391,-0.661112,0.867869,0.170451,1
C0096,0.75361,2.086297,-1.081333,-0.052725,-0.179112,0.11802,0
C0097,0.345255,-0.120997,-0.786554,0.862847,-0.419472,0.445882,0
C0098,-0.307906,0.221483,1.214255,0.501725,-1.560386,-1.53408,1
C0099,-0.313385,-1.388965,0.768508,-1.265451,-1.630588,-1.613208,0
C0100,1.4119,0.605869,-1.934011,0.67588,-0.738146,1.638894,1
C0101,-0.332242,1.034785,0.845898,2.571711,-0.027688,-0.981838,1
C0102,0.226429,1.270996,0.975509,1.660521,-0.299906,0.737458,1
C0103,0.117028,1.813594,0.960082,0.46384,0.181754,0.516108,0
C0104,-1.4095,-0.450779,0.731752,-0.347066,0.967606,1.120987,0
C0105,-0.307555,0.250078,-2.403726,1.678081,-0.559252,1.197381,0
C0106,-0.279392,0.100202,-0.446022,3.533709,-1.318638,-0.469564,0
C0107,1.391081,-0.35442,1.540559,-0.889736,-1.580048,-0.233501,1
C0108,0.103934,-0.124722,-0.149321,-0.310124,-0.665512,-0.006694,1
C0109,0.927413,0.770051,-0.541954,0.444295,-1.131777,-0.140063,0
C0110,0.563835,-0.333332,1.183075,-0.50152,-0.44298,0.272327,1
C0111,0.310729,-0.182185,0.238656,-0.377638,-1.2417,1.076273,0
C0112,2.884124,-0.53983,-0.652215,1.163845,-1.639184,-1.092714,1
C0113,0.679258,-0.050509,0.081766,2.172278,0.892627,-0.375078,1
C0114,0.7354,0.387097,0.466654,0.752725,1.02699,-0.13273,0
C0115,0.834668,0.423445,-0.203346,-0.48235,-2.823243,-1.182418,0
C0116,-0.924636,0.195937,-0.139244,-0.834413,-0.177646,-0.577702,0
C0117,-1.765718,2.147679,2.155211,1.05564,1.88026,0.338474,0
C0118,-1.674459,-1.199348,-2.003145,1.511635,1.608165,-0.814993,0
C0119,-0.241936,0.07998,-0.379888,-0.364942,1.757821,-0.172803,0
C0120,0.636709,-0.450496,-2.416136,0.5545,-0.77492,-0.36815,0
C0121,-0.351799,-0.228834,-0.075814,-0.967153,-0.022575,0.209298,0
C0122,-0.055697,0.713285,-0.341577,0.0278,-1.322832,0.345381,0
C0123,0.879007,-1.046543,0.781379,-0.42791,-0.844216,-0.35127,1
C0124,-0.201293,0.505168,1.395212,-0.618667,0.120674,0.129532,1
C0125,0.157012,-0.626168,0.919275,0.904917,0.411101,-1.385974,1
C0126,0.356539,1.380319,1.083056,-1.432923,0.140083,-1.65013,0
C0127,-1.070738,0.611853,-0.931779,0.642588,0.277676,1.1164,0
C0128,1.0825,0.68876,-1.263138,-0.484177,0.199948,-1.420052,0
C0129,2.145052,-1.559833,-0.452503,0.543116,1.170814,0.630044,1
C0130,0.212601,0.656008,-0.350686,2.223146,0.305331,0.928013,1
C0131,1.001105,-0.970279,-1.054106,0.795949,0.377201,1.22262,0
C0132,1.444539,-0.158508,-0.231705,0.6417,-0.165325,1.861168,1
C0133,0.779347,-0.768404,-0.656058,0.144618,0.339389,-0.181907,1
C0134,0.941516,-0.027569,-0.576645,2.245627,1.173034,2.115746,1
C0135,-0.787607,-1.330846,-2.546718,-0.790462,-0.665932,-1.451742,0
C0136,1.433758,0.999665,-0.914517,-0.139302,1.072365,0.663741,1
C0137,0.333623,0.058675,0.727068,0.995241,-1.054032,0.58718,1
C0138,-0.031367,1.915478,-1.663586,-0.880623,-0.256164,0.333424,0
C0139,-0.138208,0.059538,-1.225428,1.004852,0.339458,-1.424038,0
C0140,-1.96439,-0.273543,-1.256099,-1.400966,-0.824091,1.61499,0
C0141,0.256995,-0.549142,0.76928,0.110376,0.793241,-0.407144,1
C0142,-0.14004,-0.15672,0.135564,0.398671,-0.388018,1.025043,0
C0143,0.558416,1.680837,0.505428,-2.670436,0.362065,0.173638,0
C0144,1.016343,0.196947,1.018508,1.970124,-0.489059,-1.698273,1
C0145,1.19312,-0.533007,-0.773411,-0.061699,-0.549375,0.961603,1
C0146,-0.111572,0.006776,0.154634,1.015729,-0.655461,-1.071037,1
C0147,0.456074,-0.120557,-1.394799,0.838099,1.557206,-0.462713,1
C0148,0.920116,-0.762266,0.573923,-1.121069,1.151575,0.24145,1
C0149,-0.482116,0.698057,-0.831082,1.133511,0.832197,0.09181,0
C0150,-0.949269,-0.074241,1.197219,-0.926521,0.1401,-0.048721,0
C0151,0.550166,1.358841,0.323752,-1.337714,-0.098615,-0.814875,0
C0152,-0.58287,-1.003075,1.175395,-1.143488,1.38471,0.033177,1
C0153,2.24021,-0.095384,-1.451006,0.744158,0.625707,-0.315274,1
C0154,-0.647285,-0.229284,-0.936888,1.412214,0.719842,0.135904,0
C0155,-2.466363,0.697429,-0.559029,-1.829644,0.830847,1.729915,0
C0156,-0.671603,0.482387,0.402248,0.433957,0.073094,-0.606605,0
C0157,0.214187,-0.750889,1.642653,1.147425,-2.371406,-1.5083,1
C0158,-1.292337,0.246136,-0.124865,1.453397,-0.916751,-1.135319,0
C0159,1.025844,1.50528,0.481445,0.243748,-0.150053,0.023799,0
