transaction_id,region,category,product_id,member,quantity,discount,sales
T0001,North,Tech,P01,yes,2,0.05,93.8
T0002,South,Home,P02,yes,3,0.1,62.4
T0003,East,Office,P03,no,4,0.2,91.0
T0004,West,Tech,P04,yes,5,0.0,109.6
T0005,North,Home,P05,yes,1,0.05,85.2
T0006,South,Office,P06,no,2,0.1,62.8
T0007,East,Tech,P07,yes,3,0.2,127.4
T0008,West,Home,P08,yes,4,0.0,101.0
T0009,North,Office,P09,no,5,0.05,106.6
T0010,South,Tech,P10,yes,1,0.1,99.2
T0011,East,Home,P11,yes,2,0.2,118.8
T0012,West,Office,P12,no,3,0.0,101.4
T0013,North,Tech,P01,yes,4,0.05,143.0
T0014,South,Home,P02,yes,5,0.1,111.6
T0015,East,Office,P03,no,1,0.2,119.2
T0016,West,Tech,P04,yes,2,0.0,137.8
T0017,North,Home,P05,yes,3,0.05,76.6
T0018,South,Office,P06,no,4,0.1,54.2
T0019,East,Tech,P07,yes,5,0.2,118.8
T0020,West,Home,P08,yes,1,0.0,71.4
T0021,North,Office,P09,no,2,0.05,77.0
T0022,South,Tech,P10,yes,3,0.1,90.6
T0023,East,Home,P11,yes,4,0.2,110.2
T0024,West,Office,P12,no,5,0.0,92.8
T0025,North,Tech,P01,yes,1,0.05,113.4
T0026,South,Home,P02,yes,2,0.1,82.0
T0027,East,Office,P03,no,3,0.2,110.6
T0028,West,Tech,P04,yes,4,0.0,129.2
T0029,North,Home,P05,yes,5,0.05,125.8
T0030,South,Office,P06,no,1,0.1,82.4
T0031,East,Tech,P07,yes,2,0.2,147.0
T0032,West,Home,P08,yes,3,0.0,120.6
T0033,North,Office,P09,no,4,0.05,126.2
T0034,South,Tech,P10,yes,5,0.1,82.0
T0035,East,Home,P11,yes,1,0.2,80.6
T0036,West,Office,P12,no,2,0.0,63.2
T0037,North,Tech,P01,yes,3,0.05,104.8
T0038,South,Home,P02,yes,4,0.1,73.4
T0039,East,Office,P03,no,5,0.2,102.0
T0040,West,Tech,P04,yes,1,0.0,99.6
T0041,North,Home,P05,yes,2,0.05,96.2
T0042,South,Office,P06,no,3,0.1,73.8
T0043,East,Tech,P07,yes,4,0.2,138.4
T0044,West,Home,P08,yes,5,0.0,112.0
T0045,North,Office,P09,no,1,0.05,96.6
T0046,South,Tech,P10,yes,2,0.1,110.2
T0047,East,Home,P11,yes,3,0.2,129.8
T0048,West,Office,P12,no,4,0.0,112.4
T0049,North,Tech,P01,yes,5,0.05,154.0
T0050,South,Home,P02,yes,1,0.1,101.6
T0051,East,Office,P03,no,2,0.2,72.4
T0052,West,Tech,P04,yes,3,0.0,91.0
T0053,North,Home,P05,yes,4,0.05,87.6
T0054,South,Office,P06,no,5,0.1,65.2
T0055,East,Tech,P07,yes,1,0.2,108.8
T0056,West,Home,P08,yes,2,0.0,82.4
T0057,North,Office,P09,no,3,0.05,88.0
T0058,South,Tech,P10,yes,4,0.1,101.6
T0059,East,Home,P11,yes,5,0.2,121.2
T0060,West,Office,P12,no,1,0.0,82.8
T0061,North,Tech,P01,yes,2,0.05,124.4
T0062,South,Home,P02,yes,3,0.1,93.0
T0063,East,Office,P03,no,4,0.2,121.6
T0064,West,Tech,P04,yes,5,0.0,140.2
T0065,North,Home,P05,yes,1,0.05,115.8
T0066,South,Office,P06,no,2,0.1,93.4
T0067,East,Tech,P07,yes,3,0.2,158.0
T0068,West,Home,P08,yes,4,0.0,73.8
T0069,North,Office,P09,no,5,0.05,79.4
T0070,South,Tech,P10,yes,1,0.1,72.0
T0071,East,Home,P11,yes,2,0.2,91.6
T0072,West,Office,P12,no,3,0.0,74.2
T0073,North,Tech,P01,yes,4,0.05,115.8
T0074,South,Home,P02,yes,5,0.1,84.4
T0075,East,Office,P03,no,1,0.2,92.0
T0076,West,Tech,P04,yes,2,0.0,110.6
T0077,North,Home,P05,yes,3,0.05,107.2
T0078,South,Office,P06,no,4,0.1,84.8
