record_id,x1,x2,x3,target
R0001,5.459982,3.224625,-2.880737,11.620868
R0002,10.175537,1.624901,-1.089527,32.888336
R0003,8.572456,-1.151862,1.59001,47.597184
R0004,10.324422,-1.789951,0.348986,46.268622
R0005,9.491141,-0.321403,-1.002732,37.918603
R0006,12.939592,-1.510474,-3.206986,36.354011
R0007,6.973905,0.720988,2.004185,38.206674
R0008,9.638813,-0.30524,-0.553007,38.205993
R0009,9.788954,-1.678615,-0.95377,42.930109
R0010,15.073862,3.229389,-1.20678,46.68192
R0011,6.693842,4.790363,2.137265,28.830613
R0012,12.053847,1.491856,1.911633,56.988486
R0013,7.956158,1.821497,-0.165203,28.795276
R0014,12.747837,-1.664689,0.869945,52.664683
R0015,10.116355,3.523252,-0.261448,37.377878
R0016,10.134159,-1.698106,0.418583,42.346535
R0017,8.24693,-0.405771,2.136041,45.993079
R0018,7.972916,-1.085022,-0.425333,34.808544
R0019,7.946008,3.5271,1.101584,29.920802
R0020,11.498879,2.135445,-1.700944,30.717614
R0021,8.717199,-1.861325,0.763433,43.993878
R0022,4.633316,1.873308,-0.129645,21.6791
R0023,13.522749,2.567211,-0.129379,40.849275
R0024,12.539808,-1.739157,0.346849,48.755182
R0025,13.081857,-2.436134,-2.120823,39.643289
R0026,10.634702,0.566349,-1.098273,35.88836
R0027,10.85902,-0.509399,-0.002933,44.999095
R0028,7.709514,-0.06841,1.782747,41.109117
R0029,6.405214,-1.306342,-0.307769,26.940909
R0030,7.141357,0.929361,-1.440235,24.619117
R0031,8.718953,1.14019,0.680123,38.941731
R0032,8.76995,2.610738,1.28511,38.585442
R0033,10.90169,-2.585754,1.41086,49.501548
R0034,8.578068,2.634063,2.394642,44.595027
R0035,5.229799,-2.664751,-0.18312,28.171334
R0036,8.51082,3.328555,-0.780871,26.681022
R0037,9.38766,-0.887603,-0.108449,38.976673
R0038,7.556375,-2.480621,-0.527625,37.242896
R0039,8.967026,2.434142,-0.048538,30.373841
R0040,12.620159,3.309965,0.110201,48.244207
R0041,8.465199,-2.766596,-0.275132,38.396491
R0042,7.241036,3.401352,-2.690078,13.169105
R0043,8.242942,0.944481,0.44196,33.653458
R0044,6.241703,1.05928,-0.760908,25.247722
R0045,7.65056,2.236921,2.720822,42.41374
R0046,9.569928,2.844772,0.528422,32.633608
R0047,8.870229,2.868623,0.476091,32.7366
R0048,8.293921,2.47898,-0.380789,34.478577
R0049,11.945277,-0.429105,-2.274079,40.331362
R0050,10.995845,0.049853,-2.341215,27.460417
R0051,10.726093,3.135555,0.66349,38.794224
R0052,11.520865,2.947139,-1.619451,34.403828
R0053,9.225632,3.453369,-0.817869,33.00608
R0054,9.382585,-1.929809,1.124083,43.767332
R0055,11.599052,-1.038829,0.986363,42.985855
R0056,10.444462,-2.28949,0.750854,49.559306
R0057,6.980878,4.836521,-1.060363,14.950585
R0058,9.199739,0.620043,0.391157,33.529624
R0059,12.785673,1.354586,-0.9768,40.377294
R0060,9.388831,-0.175821,0.467338,39.133346
R0061,4.56749,-0.533301,-1.318435,14.89618
R0062,4.519214,3.81761,-0.979028,12.595626
R0063,11.821391,2.85698,-1.488658,36.834211
R0064,7.235761,1.676807,-0.205471,28.259852
R0065,8.981218,-1.979103,-0.940433,33.676427
R0066,8.205868,-0.141908,0.103975,36.650622
R0067,7.956549,2.097159,-2.088119,20.184712
R0068,6.155844,4.979399,-0.101816,21.899372
R0069,8.503745,3.038315,-1.001033,23.847156
R0070,8.726063,-1.556535,0.816807,40.591375
R0071,6.248026,4.628202,1.011116,27.382018
R0072,7.729294,-2.604178,-1.172283,29.62795
R0073,8.070253,-0.721743,-0.871036,33.034303
R0074,13.63866,-1.416139,-0.114389,50.046395
R0075,12.083049,0.046368,0.5461,45.33921
R0076,9.332249,1.777359,-1.511574,26.762135
R0077,9.527191,0.453275,1.486082,44.57845
R0078,10.059884,1.263896,0.731047,38.549072
R0079,7.753135,1.04502,-0.283081,29.463571
R0080,16.09925,-1.331888,-0.996509,55.055125
R0081,13.216108,0.921013,-0.660257,45.827885
R0082,8.141443,3.398814,-1.030073,28.349804
R0083,9.850217,0.858668,0.386831,39.830014
R0084,12.679662,1.982718,-0.832079,39.79986
R0085,8.291239,-0.218723,-1.252791,27.866869
R0086,11.84299,0.623008,-1.094429,36.321453
R0087,9.908603,-0.797979,-0.397877,37.048068
R0088,3.438617,2.871464,-0.641811,13.379016
R0089,10.757547,0.047777,0.524306,45.569248
R0090,13.479772,0.609309,0.275639,48.80609
R0091,8.770339,3.627524,-1.530555,21.559786
R0092,12.23844,0.327156,-1.197944,44.049294
R0093,11.929825,0.596364,0.252117,41.240452
R0094,12.712385,-2.450389,-0.063208,56.373167
R0095,11.332512,-0.323144,0.166548,44.484745
R0096,14.014532,-2.942949,-0.865827,53.140404
R0097,12.047229,0.255479,0.502683,41.843967
R0098,10.708515,1.605053,1.535641,42.043394
R0099,7.606502,2.677682,-0.983901,24.991119
R0100,8.566235,3.397561,1.374646,38.402027
R0101,10.368919,2.809643,1.442977,42.739139
R0102,10.494089,-0.879998,0.106286,42.215331
R0103,11.369987,2.310231,-0.78771,38.887051
R0104,11.743089,1.659376,0.673116,42.332741
R0105,3.953441,4.68114,-0.56709,11.379785
R0106,10.135614,0.413309,0.329221,47.214611
R0107,3.578632,-1.93606,1.606639,33.353397
R0108,11.133128,4.242315,1.119738,43.904869
R0109,11.565894,1.898073,-1.38888,33.889453
R0110,8.91328,2.591648,-1.412038,26.227185
R0111,9.074335,-1.813752,-0.508683,32.579507
R0112,11.67049,0.530589,1.027035,49.92324
R0113,9.464989,-1.34049,-0.065968,36.737655
R0114,6.384994,2.705917,1.110062,28.33988
R0115,6.713764,-2.511718,0.629294,36.708902
R0116,4.304797,-1.498372,-2.243794,19.500185
R0117,10.215281,-2.044967,-1.086099,37.170431
R0118,8.460529,2.156523,0.458289,39.688732
R0119,12.039115,2.361518,0.832647,43.64918
R0120,6.740465,-2.38654,1.93642,37.96811
R0121,12.923847,2.872161,0.735786,42.158274
R0122,11.002897,-1.060376,-0.527266,48.897777
R0123,12.06123,-1.247048,0.349813,46.746678
R0124,15.152839,-1.279581,-0.818524,52.378689
R0125,13.079079,2.439852,-1.205584,33.153197
R0126,10.25371,2.060984,0.36244,44.390726
R0127,9.229452,2.806539,1.028163,32.184703
R0128,9.726238,1.665017,-0.371802,34.621984
R0129,9.561171,0.217173,-0.689468,35.17266
R0130,9.676945,-0.125149,1.340798,44.757697
R0131,14.219038,1.034461,0.227606,49.354468
R0132,7.902933,-0.074394,-0.247266,28.754567
R0133,7.93557,-1.247231,-1.086942,33.721696
R0134,16.288263,-0.054589,-1.714398,52.385653
R0135,12.775769,4.400469,-0.612653,37.377464
R0136,8.333597,1.901544,-0.862298,27.378539
R0137,13.516063,-1.808973,0.44972,55.465968
R0138,12.105095,-0.997168,-0.136701,46.436158
R0139,7.227969,-1.012758,-0.171481,37.355533
R0140,13.182795,4.769889,-0.707945,41.657197
R0141,10.749474,0.022073,2.021398,54.741629
R0142,8.975776,3.366372,1.457988,35.613451
R0143,9.376173,0.15397,-0.887823,31.005506
R0144,8.58712,-1.671141,-1.478233,28.604611
R0145,11.816795,0.60629,-0.017253,42.71729
R0146,11.223292,0.486598,1.413538,45.507657
R0147,7.939216,-0.376078,-0.222222,33.44261
R0148,11.161539,4.649598,0.278028,32.758181
R0149,6.12724,-1.909708,-0.083784,32.090959
R0150,9.709782,2.018404,0.097686,39.032241
R0151,9.086653,-2.249721,-0.124543,43.968225
R0152,10.111295,2.280867,1.314855,44.448464
R0153,16.351689,4.125516,-1.042894,48.18182
R0154,9.596186,0.082349,-0.81203,36.742797
R0155,11.999456,-2.044115,-3.141222,37.337321
R0156,11.657149,-2.187568,-0.863332,52.56144
R0157,7.001567,-1.761456,-0.884586,27.267045
R0158,10.3232,2.959616,1.422405,42.634667
R0159,11.373377,0.947951,-2.191337,35.104304
R0160,10.840679,2.422677,-0.357009,39.931365
R0161,11.879786,-0.639231,0.179722,46.219773
R0162,15.018847,1.428851,0.319605,58.406376
R0163,6.785351,0.517209,-1.982503,22.953793
R0164,11.016211,-0.854993,-0.157043,37.874354
R0165,11.17161,-2.971306,-0.935691,44.194949
R0166,7.06115,2.084763,0.364489,27.282661
R0167,8.686781,0.134247,2.656013,47.809276
R0168,7.807685,4.236802,0.513847,29.99843
R0169,5.794944,-0.166575,-0.095829,31.187468
R0170,10.271269,-2.377543,0.641407,48.781044
R0171,14.919439,1.192028,-0.52553,50.168163
R0172,14.76665,-2.377461,-0.512363,54.480657
R0173,4.527516,-1.315359,-0.265739,22.086154
R0174,8.080033,1.727505,-2.814266,16.160504
R0175,5.168147,3.966399,-0.368326,15.933663
R0176,9.491756,-1.297435,-0.683729,41.207439
R0177,7.573128,1.484041,-0.544258,30.713116
R0178,8.391532,-1.282817,-1.548008,30.578138
R0179,7.106932,1.159926,-0.562195,28.22335
R0180,9.70729,1.208757,0.345233,45.748967
R0181,9.341768,-1.020798,-0.959756,37.245311
R0182,11.162372,0.841788,0.452875,44.141943
R0183,16.932007,0.984422,0.836522,62.242552
R0184,10.373636,1.704039,0.545843,38.809789
R0185,10.426609,3.033933,-1.393034,30.394431
R0186,9.594064,1.523508,-0.832107,33.741761
R0187,12.411143,3.70722,0.247485,41.3119
R0188,7.602686,-0.102466,-0.488862,33.539777
R0189,4.053993,-0.221264,0.852812,31.153983
R0190,6.103479,-2.42016,0.803329,34.119659
R0191,11.928372,0.281978,-0.433488,42.666596
R0192,6.236805,1.981126,1.192142,31.980958
R0193,10.663793,-2.569804,-0.981759,42.243367
R0194,11.459851,3.484494,-1.774385,32.16097
R0195,12.282828,0.156065,0.446697,45.961183
R0196,12.485931,4.445433,0.569507,44.106892
R0197,12.250979,2.027002,-0.789051,38.31694
R0198,13.725908,0.506726,0.400986,51.656835
R0199,9.834847,4.729449,0.830978,30.571323
R0200,8.647505,2.807442,0.88003,32.804851
R0201,8.612059,-1.100702,-0.81999,38.177944
R0202,5.5501,1.449354,-0.914354,21.439379
R0203,14.554059,4.375295,0.419171,47.402368
R0204,12.884768,2.743132,-1.718821,39.377295
R0205,12.120406,0.40394,-0.298207,39.38086
R0206,11.30756,1.869275,1.231019,44.512788
R0207,9.702541,0.914073,0.566527,40.202521
R0208,9.268425,2.850978,0.525957,36.677361
R0209,10.741933,2.341965,0.667571,37.329699
R0210,10.469079,-0.335561,-0.821675,36.920957
R0211,16.22466,-0.175848,-2.264397,50.798908
R0212,8.044768,4.99097,-0.035661,21.174305
R0213,4.55567,-0.390681,1.507958,32.126479
R0214,9.149826,-0.493019,1.308337,43.29983
R0215,8.632224,-1.987562,-0.755433,37.92294
R0216,9.136896,0.46474,0.200196,34.190748
R0217,5.486528,-2.251212,-0.722609,27.224725
R0218,5.226429,4.634398,1.50912,26.869021
R0219,12.754335,2.422734,1.068401,50.947095
R0220,9.926078,0.532776,0.494687,42.575598
R0221,11.937731,3.320977,0.079635,34.239781
R0222,6.403884,1.257115,0.046194,31.186862
R0223,12.957923,2.05925,-1.520389,34.833673
R0224,6.117865,0.134609,1.232123,32.610842
R0225,7.053396,3.089895,0.065819,26.942819
R0226,12.612057,2.202506,0.627135,37.449254
R0227,13.67559,-1.289368,0.172176,57.905884
R0228,5.156708,3.264695,-0.679757,21.943763
R0229,10.062328,0.919775,1.4118,44.176966
R0230,10.282864,-0.268794,0.35608,48.225245
R0231,8.771223,-2.496518,2.763747,54.455145
R0232,8.551933,-1.276947,0.321412,41.083326
R0233,10.783228,-2.961651,0.055318,47.313707
R0234,7.930808,-1.537581,0.471612,41.879451
R0235,11.798194,2.681762,-0.49629,36.713218
R0236,9.928692,4.963271,1.89481,38.445329
R0237,12.386777,-0.332908,2.199084,51.377377
R0238,15.022588,4.655109,-0.714516,41.061054
R0239,8.747144,-2.961153,-0.292318,38.380556
R0240,12.342233,0.813192,0.124965,42.881239
R0241,11.325355,1.860927,1.323659,45.777252
R0242,11.781171,-2.665505,-1.647833,39.623104
R0243,10.155064,3.159816,-0.125137,30.968375
R0244,11.056345,-0.108974,-0.576982,41.152233
R0245,8.582434,-0.991733,0.849848,40.796009
R0246,10.56371,-0.517602,1.372153,50.140786
R0247,11.26316,-0.422724,-1.036858,38.624837
R0248,9.103428,0.243044,0.372559,38.544485
