subject_id,group,x,outcome
S0001,control,1.821558,42.135269
S0002,control,-0.475122,53.565545
S0003,control,0.342605,56.258747
S0004,control,0.376752,58.975654
S0005,control,0.766968,50.455537
S0006,control,0.913374,45.358187
S0007,control,-1.347172,50.3275
S0008,control,-0.615332,47.244564
S0009,control,-1.057007,58.977752
S0010,control,0.916061,55.109923
S0011,control,0.000454,52.631424
S0012,control,0.428677,54.895454
S0013,control,1.198725,51.625672
S0014,control,0.74785,53.848922
S0015,control,1.5156,61.594441
S0016,control,1.579299,55.325679
S0017,control,-1.017757,43.708173
S0018,control,1.2118,47.236324
S0019,control,0.814294,47.068714
S0020,control,0.753981,51.450052
S0021,control,-0.793796,38.694274
S0022,control,0.194578,41.858619
S0023,control,0.622736,58.271618
S0024,control,0.24842,55.152815
S0025,control,-1.359277,46.100281
S0026,control,0.05033,49.115156
S0027,control,0.118052,51.651111
S0028,control,0.181486,36.510744
S0029,control,-0.427129,40.77738
S0030,control,-1.3502,51.579396
S0031,control,-0.3326,45.477394
S0032,control,-1.867908,46.472038
S0033,control,0.638558,55.199283
S0034,control,-0.061233,51.531923
S0035,control,-0.955638,51.330012
S0036,control,-0.812332,40.318346
S0037,control,0.944695,50.955701
S0038,control,-2.685919,38.07819
S0039,control,0.696863,55.572504
S0040,control,0.207468,48.176279
S0041,control,2.874083,59.539857
S0042,control,-1.295523,54.409877
S0043,control,-0.737664,54.928793
S0044,control,-0.663222,40.542945
S0045,control,-0.45387,43.454099
S0046,control,-0.947569,52.452199
S0047,control,0.048931,53.393875
S0048,control,-0.857811,50.806513
S0049,control,-0.124946,45.83182
S0050,control,1.68558,55.784945
S0051,control,-0.523052,35.420093
S0052,control,-0.999936,53.335554
S0053,control,-0.01347,40.124162
S0054,control,0.994136,55.660936
S0055,control,-1.65603,52.924736
S0056,control,0.123176,54.784833
S0057,control,0.714695,59.40272
S0058,control,0.458564,49.181203
S0059,control,1.244687,59.285183
S0060,control,-1.50596,54.420512
S0061,control,0.870864,50.058087
S0062,control,-0.384275,45.582389
S0063,control,1.306301,55.40855
S0064,control,-0.478042,50.765099
S0065,control,-0.144746,53.257545
S0066,control,0.53957,55.239681
S0067,control,-0.682406,57.116483
S0068,control,0.514734,65.921931
S0069,control,0.435966,35.055637
S0070,control,-0.489386,52.582251
S0071,control,-1.014946,53.128073
