product_id,product_category_name,product_category_name_english,product_weight_g,product_length_cm,product_height_cm,product_width_cm
00126f27c813603687e6ce486d909d01,cool_stuff,cool_stuff,700.0,25.0,5.0,15.0
001795ec6f1b187d37335e1c4704762e,consoles_games,consoles_games,600.0,30.0,20.0,20.0
001b72dfd63e9833e8c02742adf472e3,moveis_decoracao,furniture_decor,600.0,26.0,8.0,22.0
00210e41887c2a8ef9f791ebc780cc36,beleza_saude,health_beauty,300.0,30.0,15.0,15.0
00250175f79f584c14ab5cecd80553cd,utilidades_domesticas,housewares,750.0,30.0,5.0,35.0
002af88741ba70c7b5cf4e4a0ad7ef85,cool_stuff,cool_stuff,600.0,40.0,30.0,40.0
0030026a6ddb3b2d1d4bc225b4b4c4da,esporte_lazer,sports_leisure,800.0,25.0,25.0,25.0
0043d1a25ef08fb6f41b8fa6f91742ab,construcao_ferramentas_construcao,construction_tools_construction,20400.0,30.0,30.0,30.0
004552d98c5d3653af8b4dbe8def0048,moveis_decoracao,furniture_decor,900.0,100.0,11.0,12.0
004ffcbfa5aac82212a95bc972ea8a85,moveis_quarto,furniture_bedroom,10000.0,65.0,35.0,35.0
005030ef108f58b46b78116f754d8d38,perfumaria,perfumery,50.0,16.0,5.0,11.0
00636f9286f69c9f1bdabe76e670fb50,moveis_decoracao,furniture_decor,500.0,25.0,2.0,17.0
00738f5a17ec4450e88915357b085c1e,brinquedos,toys,600.0,17.0,15.0,22.0
007c63ae4b346920756b5adcad8095de,utilidades_domesticas,housewares,2800.0,30.0,30.0,30.0
0082684bb4a60a862baaf7a60a5845ed,,,500.0,24.0,4.0,15.0
00929aaa7751a77220db9caa1ae6d3ab,utilidades_domesticas,housewares,2800.0,50.0,35.0,15.0
009af1277432f1a05742df69cdf72d1e,brinquedos,toys,700.0,20.0,35.0,20.0
00aa70fd749f3b9ce8ca4bc914a9e7b1,moveis_decoracao,furniture_decor,700.0,16.0,16.0,16.0
00ab8a8b9fe219511dc3f178c6d79698,,,2100.0,50.0,30.0,30.0
00ae7076313576f94d9107599d79a978,esporte_lazer,sports_leisure,600.0,22.0,33.0,16.0
00b782074a5ec523bf31951b4935d572,telefonia,telephony,250.0,16.0,5.0,11.0
00ba6d766f0b1d7b78a5ce3e1e033263,utilidades_domesticas,housewares,7850.0,28.0,62.0,28.0
00baba5b58e274d0332a0c8a0a66f877,perfumaria,perfumery,200.0,18.0,7.0,12.0
00bc6e6d4ceb98ec7ed058b0a243a8b9,artigos_de_natal,christmas_supplies,200.0,16.0,11.0,11.0
00be617b58175bf207fd35910d5097a4,cama_mesa_banho,bed_bath_table,900.0,45.0,15.0,35.0
00c3e35b00dd00ab864d4a94c1b97e66,perfumaria,perfumery,512.0,30.0,12.0,18.0
00c744ca2f3b0e76ce227b146095d3f9,brinquedos,toys,350.0,17.0,15.0,17.0
00cc15e0cef551848c797ab75ba904b1,relogios_presentes,watches_gifts,300.0,19.0,10.0,15.0
00d62d0388b0786d730a1aaed91c0ae0,moveis_decoracao,furniture_decor,300.0,16.0,30.0,20.0
00d93a09990b319a7c946ed7a8c67656,moveis_decoracao,furniture_decor,3400.0,42.0,16.0,26.0
00de7f393d962717eeeb2d7131a40dba,telefonia,telephony,300.0,16.0,5.0,12.0
00df6fc5f33cc3f7ceec4ec6337d9cd7,relogios_presentes,watches_gifts,500.0,20.0,15.0,17.0
00e2784f846618842151d40ec730ece0,moveis_decoracao,furniture_decor,800.0,21.0,34.0,34.0
00efb9a8ce0cf3b2f37892ab003edc10,esporte_lazer,sports_leisure,2217.0,49.0,35.0,47.0
00f179926ae5965cd6ff548d765d8a61,informatica_acessorios,computers_accessories,133.0,17.0,6.0,12.0
00f42e56821b1779fbf397fe72639054,moveis_decoracao,furniture_decor,750.0,50.0,10.0,50.0
00faa46f36261af8bbf3a4d37fa4841b,fashion_bolsas_e_acessorios,fashion_bags_accessories,100.0,21.0,9.0,14.0
010c38887e6a41a5acfea2687515b254,moveis_decoracao,furniture_decor,1400.0,30.0,5.0,20.0
010c988805cc0a13b9ba455ffc6c8510,papelaria,stationery,200.0,24.0,7.0,14.0
0110573bc9195aa810a4384f189f48f5,moveis_decoracao,furniture_decor,3900.0,63.0,11.0,43.0
0111ab6fb41da433e0f17d3f4ec2c8f5,brinquedos,toys,500.0,23.0,8.0,25.0
0116f3b947377cccf0135f8071b54d74,esporte_lazer,sports_leisure,1050.0,40.0,20.0,20.0
011be89e68e286ac07f51c22ecbb04aa,esporte_lazer,sports_leisure,450.0,25.0,15.0,28.0
0130c4375ccbe30dbfa676abd076a056,utilidades_domesticas,housewares,1038.0,40.0,36.0,13.0
013e6676e0e3529e5909ff54370daddf,informatica_acessorios,computers_accessories,1088.0,33.0,20.0,15.0
0141015d2469c1c5f9d7d377d1cdb44a,moveis_sala,furniture_living_room,17800.0,70.0,15.0,24.0
014a8a503291921f7b004a5215bb3c36,bebes,baby,150.0,16.0,7.0,11.0
0152f69b6cf919bcdaf117aa8c43e5a2,cama_mesa_banho,bed_bath_table,250.0,40.0,4.0,30.0
01586bfbe1d5449887f1cac4ad1fbd02,telefonia_fixa,fixed_telephony,125.0,17.0,6.0,13.0
01593b27eef404f592e6a3f1174493bf,cool_stuff,cool_stuff,2000.0,50.0,40.0,30.0
015e652da4f31f2f7a051a6de66094c0,cama_mesa_banho,bed_bath_table,700.0,22.0,13.0,16.0
015ec57b45a4c3efc70288eb133d623a,beleza_saude,health_beauty,750.0,28.0,4.0,18.0
016711f78a6a87696645db0a6a834826,beleza_saude,health_beauty,1150.0,27.0,22.0,39.0
016809bbae76f284266dcffcbb12480b,malas_acessorios,luggage_accessories,600.0,50.0,5.0,40.0
016cae136d358dcdacbd7ac9f1864c09,esporte_lazer,sports_leisure,300.0,30.0,5.0,20.0
016f3b29107ed03252e477b08445cec4,automotivo,auto,3500.0,25.0,5.0,25.0
017457b0013d01d5a5a4a020ed1f14b9,,,2200.0,28.0,20.0,14.0
017692475c1c954ff597feda05131d73,perfumaria,perfumery,50.0,16.0,5.0,11.0
